model,dataset,accuracy,f1,precision,recall,time,run
HC2,BeetleFly,0.95,0.949874686716792,0.9545454545454545,0.95,146.4856071472168,20260309_113258_run1
HC2,ACSF1,0.9,0.8994293705277687,0.9063170163170163,0.9,1796.9115941524506,20260309_113031_run1
HC2,CricketX,0.8205128205128205,0.8182393154277501,0.8325701283090448,0.8205128205128205,2826.450936317444,20260309_151954_run1
HC2,CinCECGTorso,1.0,1.0,1.0,1.0,10789.134034633636,20260309_143247_run1
HC2,LSST,0.6747769667477697,0.6121600693448791,0.6407978306943919,0.6747769667477697,12913.370717048645,20260309_185507_run1
