/home/labic/miniconda3/envs/tabs/lib/python3.10/site-packages/torch/nn/modules/conv.py:370: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1025.)
  return F.conv1d(

 === Started run 1 === 

    --- Executing dataset FloodModeling2 --- 

Training H1

Epoch 75/2000 | Train MSE: 0.000109
Epoch 76/2000 | Train MSE: 0.000103
Epoch 77/2000 | Train MSE: 0.000037
Epoch 78/2000 | Train MSE: 0.000038
Epoch 79/2000 | Train MSE: 0.000044
Epoch 80/2000 | Train MSE: 0.000035
Epoch 81/2000 | Train MSE: 0.000039
Epoch 82/2000 | Train MSE: 0.000055
Epoch 83/2000 | Train MSE: 0.000059
Epoch 84/2000 | Train MSE: 0.000049
Epoch 85/2000 | Train MSE: 0.000106
Epoch 86/2000 | Train MSE: 0.000053
Epoch 87/2000 | Train MSE: 0.000033
Epoch 88/2000 | Train MSE: 0.000127
Epoch 89/2000 | Train MSE: 0.000064
Epoch 90/2000 | Train MSE: 0.000111
Epoch 91/2000 | Train MSE: 0.000092
Epoch 92/2000 | Train MSE: 0.000042
Epoch 93/2000 | Train MSE: 0.000029
Epoch 94/2000 | Train MSE: 0.000023
Epoch 95/2000 | Train MSE: 0.000041
Epoch 96/2000 | Train MSE: 0.000046
Epoch 97/2000 | Train MSE: 0.000073
Epoch 98/2000 | Train MSE: 0.000041
Epoch 99/2000 | Train MSE: 0.000042
Epoch 100/2000 | Train MSE: 0.000057
Epoch 101/2000 | Train MSE: 0.000021
Epoch 102/2000 | Train MSE: 0.000021
Epoch 103/2000 | Train MSE: 0.000025
Epoch 104/2000 | Train MSE: 0.000024
Epoch 105/2000 | Train MSE: 0.000020
Epoch 106/2000 | Train MSE: 0.000036
Epoch 107/2000 | Train MSE: 0.000038
Epoch 108/2000 | Train MSE: 0.000033
Epoch 109/2000 | Train MSE: 0.000036
Epoch 110/2000 | Train MSE: 0.000031
Epoch 111/2000 | Train MSE: 0.000053
Epoch 112/2000 | Train MSE: 0.000029
Epoch 113/2000 | Train MSE: 0.000020
Epoch 114/2000 | Train MSE: 0.000023
Epoch 115/2000 | Train MSE: 0.000029
Epoch 116/2000 | Train MSE: 0.000016
Epoch 117/2000 | Train MSE: 0.000029
Epoch 118/2000 | Train MSE: 0.000044
Epoch 119/2000 | Train MSE: 0.000035
Epoch 120/2000 | Train MSE: 0.000033
Epoch 121/2000 | Train MSE: 0.000047
Epoch 122/2000 | Train MSE: 0.000020
Epoch 123/2000 | Train MSE: 0.000022
Epoch 124/2000 | Train MSE: 0.000015
Epoch 125/2000 | Train MSE: 0.000015
Epoch 126/2000 | Train MSE: 0.000040
Epoch 127/2000 | Train MSE: 0.000074
Epoch 128/2000 | Train MSE: 0.000098
Epoch 129/2000 | Train MSE: 0.000074
Epoch 130/2000 | Train MSE: 0.000113
Epoch 131/2000 | Train MSE: 0.000093
Epoch 132/2000 | Train MSE: 0.000048
Epoch 133/2000 | Train MSE: 0.000035
Epoch 134/2000 | Train MSE: 0.000021
Epoch 135/2000 | Train MSE: 0.000020
Epoch 136/2000 | Train MSE: 0.000020
