dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,3.4678764734553917,3.783628391374264,3.2149570219684773,3.597718259891652,3.371214787496482,2.8940724642951072,2.9880062511666976,3.683612119038593,3.997701811992753,2.9671866752621305,3.337269671593149,2.398249162293971,3.5296868637534056,4.251453565955085,3.7480824172908784,3.310275001161556,3.6307805439313134,4.043677891758669,3.4797320363192417,3.8497709423777984,4.165218246343568,3.821779643536782,2.897245205194292,3.3981276729660244,3.0705957045564403,3.720604744990256,2.970982480006612,3.295815634828472,3.4514803833606478,3.780024365994766
AluminiumConcentration,200.2764061809248,239.785470065363,225.67119493422769,233.5650833235148,218.74823146107164,211.0197260340627,216.3267533735618,209.4452311138516,256.15944109284186,255.4703291045593,177.14799670369268,193.029284863518,203.78623637290704,200.73379146570832,200.629396403045,217.30003500425755,207.86877506840335,213.391591474502,190.87032762096769,161.89231202631692,263.5048252179783,239.2256560161593,254.55588731398703,242.90909440329244,263.99997159964363,229.43720688690425,225.76062888051743,245.2168453997308,205.9467296987026,209.00786745623097
AppliancesEnergy,1.975857995307803,2.319584334990248,1.7091907466252514,2.146790873369199,1.9057257797745524,2.1248407229369453,2.623158538214636,1.5449663744884132,1.9974937185938824,2.176360692116148,1.9845880864089611,2.331353284386203,2.151318040476073,2.8069347941884053,2.6822429646113126,2.219919809239064,1.6997048500294747,2.0880383033936223,2.0530293233618093,1.6074536826714494,2.052542674058798,2.389046936519656,2.1519823519547003,1.869889050060613,1.5136360384793996,2.219009674798312,1.7865758875295157,2.0325743899752844,1.9871320747603631,1.756378344766205
BIDMC32HR,9.883008111425555,0.2502382513003799,0.2573385549298072,0.2534112191968396,0.2647803949013125,0.2420530616847409,0.2701699788929175,0.2222414561992086,0.3136346323153349,0.2634636782501666,0.2713111077038742,0.2846010415519828,0.2600607588452557,0.266648642972216,0.2621621457839256,0.272701269649424,0.2303047568867435,0.2511329732593985,0.2868915020864082,0.2487169788779728,0.2516224126595346,0.3270580310820433,0.2697735730875168,0.254742721480622,0.29120543115035,0.2591034284327323,0.2605260836458484,0.2525138403265087,0.2469739916473373,0.3262150947298259
BIDMC32RR,3.491263061498067,0.1933649658734898,0.1789745799207484,0.1724659203151172,0.1840764680126339,0.189651147042018,0.1826563349900687,0.1721592604238367,0.1729314616870917,0.1932274365558218,0.1853713935953659,0.2276279694073884,0.2006431663783391,0.1910128408802781,0.1633709458235745,0.2442144664523714,0.2212291869619596,0.1839880427959396,0.1846488914832187,0.1679341695604006,0.170435272966537,0.1546835072531822,0.1984104666362916,0.1326940580929309,0.1671436537057665,0.166903895498578,0.1790282833292955,0.1908900426395717,0.1562193534839778,0.1789369283699834
BIDMC32SpO2,4.926056711165573,0.0664165762750331,0.0583002326319068,0.0586135611098568,0.059215536603986,0.0593875329489033,0.058697659983896,0.0622651165285129,0.0663252955433081,0.0643753819558911,0.0592439882499384,0.0633061823687112,0.063616188719628,0.0612412305596965,0.0630340896555332,0.064665791932535,0.0550083811148654,0.0615480761410085,0.0638741058095631,0.0603890344349248,0.0557370759221446,0.0569079997274968,0.060038255697665,0.0637087141239299,0.0534655570348304,0.0635840709715189,0.0608582014660738,0.0618179866334871,0.0699903838032844,0.069468358093603
BarCrawl6min,0.0436873209300813,0.0485851577369443,0.037685201779646,0.0428322243360545,0.0480875631265364,0.0415504575495141,0.0474504783631631,0.043456451413391,0.0459511924299544,0.0451546452465296,0.0541724374243978,0.0518624750533374,0.0514536060713107,0.0465776789148096,0.0464498412456375,0.0452936444807503,0.044828972094452,0.0379467796346197,0.0579026958424355,0.0493066865224025,0.0543546977134304,0.0442954984844293,0.0533883792968981,0.0476544438384383,0.0473220777001438,0.0425101026031462,0.0453553458509931,0.0465076621858376,0.0426097858274461,0.0496391498083945
BeijingIntAirportPM25Quality,44.73503223127201,45.91851519701749,43.21354418885358,48.27697734401095,48.8090039417791,48.90590818642234,48.988072481820325,49.036307328336285,45.8357603734031,47.250319363580246,45.4632622995356,49.14927338411571,44.76147933855723,45.72101062257863,45.61796070017697,46.743254678963176,49.60488720240381,45.64820097388635,52.205665450555045,47.73480481119384,46.72233193029031,48.95365043339893,49.18492053712424,46.54909367021919,48.71740160453446,48.88966573394168,50.208886196323874,45.86297751548728,50.985475711995,49.88352011069148
BeijingPM10Quality_nmv,95.21623026250585,57.60676962272573,58.92018515053773,58.47941285607506,58.4515734015998,59.79186696072425,56.37464865044662,60.59371479312194,57.85901064639511,58.358360517893686,59.17563475302703,60.229381697867424,59.32561443213553,57.93317472106156,60.363718797598864,62.83815022060277,56.93334099459611,57.0826847952104,57.9495215910853,55.30154086543779,56.58561365348766,61.28199350805051,61.54902856714241,61.429614885530384,60.412854945526256,59.93753560878371,57.91226422664228,60.4533375376846,63.327777025363055,58.77053488115491
BeijingPM25Quality_nmv,62.30234483272648,37.21939802032219,38.74760577307247,35.01015976194297,36.043541505510696,34.65602914865841,36.71652410667916,35.8604773050401,36.16247814096297,34.99075129064948,36.079142454459166,39.702373454510585,37.69851593382558,39.29413851750985,37.18651278676938,36.26426638512445,36.218156734155485,37.95784999602629,38.93115150467276,38.178365890331946,37.29869940760881,36.08339988287391,36.92183686991601,39.53584176514054,36.11234029522399,35.49754555707541,37.023168455547065,36.81020544219816,37.1091756588101,34.66963365829711
