model,dataset,mse,mae,rmse,r2,time,run
c22,HouseholdPowerConsumption2,1223.036240622143,25.595607038003013,34.97193504257582,0.5649590463383674,2.8176157474517822,20260206_153405_run5
c22,HouseholdPowerConsumption2,1216.7880043920036,25.41584206452661,34.882488506297875,0.5671815795372857,2.8366804122924805,20260206_150429_run1
c22,HouseholdPowerConsumption2,1211.5785589563404,25.407108837427966,34.807737055952664,0.5690346089366649,3.6167051792144775,20260206_151910_run3
c22,HouseholdPowerConsumption2,1186.8331765880775,25.048893749136965,34.450445230621874,0.5778366823230878,2.8234381675720215,20260206_152640_run4
c22,HouseholdPowerConsumption2,1223.09373086804,25.504064849497627,34.972756981228116,0.5649385967306038,2.812513589859009,20260206_151151_run2
c22,Covid3Month,0.00183252649655961,0.032728649024510954,0.04280801906838963,0.07973434086874687,0.40908169746398926,20260206_152641_run5
c22,Covid3Month,0.0018151425575204327,0.03264152376712051,0.04260448987513443,0.08846427855216943,0.39420557022094727,20260206_151911_run4
c22,Covid3Month,0.001812285615389127,0.032557802509007874,0.042570948020793795,0.08989898944912056,0.39235949516296387,20260206_151151_run3
c22,Covid3Month,0.0018179894969201635,0.03246767332408955,0.04263788804479138,0.08703459086791565,0.4040231704711914,20260206_150429_run2
c22,Covid3Month,0.0018053770851394046,0.032453994790957584,0.042489729172347106,0.09336834345618406,2.197195053100586,20260206_145703_run1
c22,BIDMC32SpO2,25.4339908049178,3.7356457715280684,5.043212349774477,-0.15732324292244182,11.658719301223755,20260206_152835_run5
c22,BIDMC32SpO2,25.720143646409667,3.6771808562099593,5.07150309537613,-0.17034405971155553,24.188544034957886,20260206_152120_run4
c22,BIDMC32SpO2,24.812861109744286,3.6520832330344497,4.9812509583180296,-0.12905996962776678,12.997570514678955,20260206_151346_run3
c22,BIDMC32SpO2,24.354924568274836,3.626846859190327,4.935070877735682,-0.10822247671164775,11.647287130355835,20260206_150624_run2
