model,dataset,mse,mae,rmse,r2,time,run
HIT,Covid3Month,0.0020651177037507296,0.031918928027153015,0.04544356614253254,-0.03706920146942139,39.68423056602478,20260213_171129_run1
HIT,BeijingPM25Quality,7078.26708984375,56.85455322265625,84.13243779805593,0.4418333172798157,6023.914714574814,20260213_185154_run1
HIT,NewsTitleSentiment,0.01907442696392536,0.09751161932945251,0.13811019862387194,-7.212162017822266e-05,8226.560798168182,20260213_210903_run1
HIT,BIDMC32SpO2,29.075639724731445,4.216382026672363,5.392183205783298,-0.3230292797088623,17045.61536216736,20260214_015329_run1
HIT,AppliancesEnergy,6.847728252410889,2.100285768508911,2.616816434603484,0.42077744007110596,36.0541615486145,20260214_015409_run1
HIT,FloodModeling3,0.0006118548917584121,0.018537135794758797,0.024735700753332462,-0.1910247802734375,302.74199295043945,20260214_015914_run1
HIT,FloodModeling1,0.0004145739076193422,0.015012639574706554,0.020361088075526373,-0.1669778823852539,368.3213846683502,20260214_020526_run1
HIT,HouseholdPowerConsumption2,1497.8740234375,28.085405349731445,38.702377490762764,0.4671977162361145,1732.388878107071,20260214_023425_run1
HIT,BIDMC32HR,24.781967163085938,3.3017947673797607,4.978148969555445,0.8746565580368042,29906.0828332901,20260214_105309_run1
HIT,Covid3Month,0.0020815865136682987,0.03197849914431572,0.045624406995250895,-0.04533946514129639,17.32549548149109,20260214_170149_run1
