model,dataset,mse,mae,rmse,r2,time,run
minirocket_fm,MethaneMonitoringHomeActivity,0.33226928950079726,0.3797062291536225,0.5764280436453428,0.001065959079012302,27.438369274139404,20260211_105021_run1
minirocket_fm,MethaneMonitoringHomeActivity,0.3321277019567696,0.37946333844825364,0.5763052159722047,0.0014916277217933427,27.497174501419067,20260211_105821_run2
minirocket_fm,MethaneMonitoringHomeActivity,0.3319280557464798,0.3794566463373828,0.5761319777155923,0.002091843877487398,27.42115044593811,20260211_110617_run3
minirocket_fm,MethaneMonitoringHomeActivity,0.3319359933756778,0.3795862587271667,0.5761388663991328,0.002067980197452468,27.343136310577393,20260211_111411_run4
minirocket_fm,MethaneMonitoringHomeActivity,0.33180891050958505,0.3790516200694038,0.5760285674422624,0.002450041991813756,27.590131521224976,20260211_112207_run5
minirocket_fm,MagnesiumConcentration,10610.403648762816,43.63848702821603,103.0068136035807,0.946183989843204,22.89840602874756,20260211_112127_run5
minirocket_fm,MagnesiumConcentration,9993.378976923968,42.85362365435271,99.9668894030617,0.9493135414706338,22.563048839569092,20260211_111331_run4
minirocket_fm,MagnesiumConcentration,17086.320336649005,49.037108716055236,130.71465234107845,0.9133381142491606,22.687707662582397,20260211_110537_run3
minirocket_fm,MagnesiumConcentration,9117.693065891697,43.2698277264012,95.48661197200211,0.9537550239478599,22.6395320892334,20260211_105741_run2
minirocket_fm,MagnesiumConcentration,10580.398792074651,45.21593421855066,102.86106548191425,0.9463361745975014,23.6863694190979,20260211_104941_run1
minirocket_fm,ZincConcentration,4.015281883938331,0.827145713141077,2.003816828938796,0.0892569244807151,10.684085130691528,20260211_112845_run5
minirocket_fm,ZincConcentration,3.934367499019868,0.8483673231429455,1.983524010194953,0.10760986156071728,10.497589588165283,20260211_112050_run4
minirocket_fm,ZincConcentration,4.059127676153133,0.8479439071800073,2.0147276928044477,0.07931185641213889,10.360344886779785,20260211_111255_run3
minirocket_fm,ZincConcentration,4.12324829491815,0.8441178631572825,2.0305783153865673,0.06476806814864278,10.476409673690796,20260211_110500_run2
minirocket_fm,ZincConcentration,4.0582197772312725,0.851990920447804,2.0145023646626163,0.07951778533076936,10.544301271438599,20260211_105704_run1
minirocket_fm,WindTurbinePower,161760.61697104215,258.66266101912095,402.194750054053,0.803442558573255,11.652577638626099,20260211_112831_run5
minirocket_fm,WindTurbinePower,153946.67919645715,252.3923504309173,392.3603945309174,0.8129373765654191,11.261330366134644,20260211_112037_run4
minirocket_fm,WindTurbinePower,151164.62956836185,259.22822460275916,388.79895777684624,0.8163178814562884,11.309584617614746,20260211_111241_run3
minirocket_fm,WindTurbinePower,149310.2203217279,251.02724476726678,386.4068067745804,0.8185711983865874,11.34038782119751,20260211_110447_run2
minirocket_fm,WindTurbinePower,150313.49024999462,252.5014983553665,387.70283755731606,0.8173521119744985,11.241101503372192,20260211_105651_run1
minirocket_fm,WaveDataTension,238.38676670676986,12.513620398166271,15.439778713011721,0.31598842412487194,19.29153037071228,20260211_112819_run5
minirocket_fm,WaveDataTension,237.73334277324466,12.508831182601503,15.418603788062155,0.31786331651365485,19.3519070148468,20260211_112025_run4
minirocket_fm,WaveDataTension,238.22961240281214,12.489772958088647,15.43468860725127,0.3164393525240893,19.63523268699646,20260211_111230_run3
minirocket_fm,WaveDataTension,237.21762298510703,12.483137213770902,15.401870762511514,0.3193430895307029,20.75706434249878,20260211_110435_run2
minirocket_fm,WaveDataTension,240.0985739507125,12.59642018253248,15.495114518799546,0.3110766750932491,19.41473078727722,20260211_105640_run1
minirocket_fm,TetuanEnergyConsumption,3343928.7122123055,1390.6445057673295,1828.6412201993876,0.3077631936255216,7.485352277755737,20260211_112529_run5
minirocket_fm,TetuanEnergyConsumption,3232478.235643879,1392.9128390684655,1797.9094069623973,0.33083489419344425,7.5541582107543945,20260211_111734_run4
minirocket_fm,TetuanEnergyConsumption,3166551.950216608,1386.588514697254,1779.4808091734533,0.3444824941299015,8.931965112686157,20260211_110940_run3
minirocket_fm,TetuanEnergyConsumption,3276006.5577047593,1400.0875632957386,1809.974187027196,0.32182396446272976,7.518638610839844,20260211_110145_run2
minirocket_fm,TetuanEnergyConsumption,3270391.0082296752,1418.3999188853852,1808.4222427933348,0.3229864563605006,7.56527853012085,20260211_105349_run1
minirocket_fm,PhosphorusConcentration,198.98734499896014,4.436683952086414,14.10628742791526,0.7044446484629474,22.523407459259033,20260211_112337_run5
minirocket_fm,PhosphorusConcentration,169.90007162355064,4.311995543224193,13.034572168795977,0.7476478949194918,22.800480604171753,20260211_111543_run4
minirocket_fm,PhosphorusConcentration,191.22053094593872,4.458620982160215,13.828251188994894,0.7159806758307967,22.943122148513794,20260211_110747_run3
minirocket_fm,PhosphorusConcentration,194.5281515588669,4.427993950143037,13.947334926747365,0.7110678761097375,24.186335802078247,20260211_105953_run2
minirocket_fm,PhosphorusConcentration,186.43713091543103,4.381207403385021,13.65419828900368,0.7230854466269819,22.822697401046753,20260211_105158_run1
minirocket_fm,ManganeseConcentration,5799.29907549285,50.79828550695336,76.15312912476315,0.4847343315802446,10.114317178726196,20260211_112139_run5
minirocket_fm,ManganeseConcentration,5934.53955826143,51.097350034962524,77.03596275935953,0.4727182625960388,10.007659435272217,20260211_111343_run4
minirocket_fm,ManganeseConcentration,5873.565453719347,50.93487137902301,76.63919006434858,0.478135790184147,10.164342403411865,20260211_110549_run3
minirocket_fm,ManganeseConcentration,5490.2935258424895,49.12568837563888,74.09651493722555,0.5121893651995404,9.867321968078613,20260211_105753_run2
minirocket_fm,ManganeseConcentration,5974.82078870374,51.42086676581009,77.29696493850027,0.46913928954111617,10.094834804534912,20260211_104953_run1
minirocket_fm,SulphurConcentration,94993.06330558061,39.59464658221899,308.2094471387608,-0.01213736072647209,10.482953786849976,20260211_112521_run5
minirocket_fm,SulphurConcentration,95172.55427840995,39.92968486975625,308.5004931574826,-0.014049811101183307,10.5027334690094,20260211_111726_run4
minirocket_fm,SulphurConcentration,94814.68811872379,38.989256477795344,307.91993783891905,-0.010236798890040033,10.23335075378418,20260211_110930_run3
minirocket_fm,SulphurConcentration,94897.97704574766,39.608320883885725,308.05515260379536,-0.011124230370215704,10.448172330856323,20260211_110136_run2
minirocket_fm,SulphurConcentration,95116.8586264946,39.725912693483046,308.4102116118962,-0.013456381979393583,10.515468835830688,20260211_105341_run1
minirocket_fm,OccupancyDetectionLight,11291.296564784872,55.18558456622134,106.26051272596455,0.7186346350303201,7.328891277313232,20260211_112239_run5
minirocket_fm,OccupancyDetectionLight,9844.463889340874,52.323955809913286,99.21927176381045,0.7546879440051264,7.408119440078735,20260211_111445_run4
minirocket_fm,OccupancyDetectionLight,10115.981760939045,53.91574104639026,100.5782370144707,0.7479220491763366,7.460481405258179,20260211_110649_run3
minirocket_fm,OccupancyDetectionLight,10612.473590265301,53.2174623197042,103.01686070864953,0.7355500771923107,7.475977182388306,20260211_105854_run2
minirocket_fm,OccupancyDetectionLight,9688.663993006308,53.096192523986716,98.43101133792291,0.7585702877592646,7.341535568237305,20260211_105100_run1
minirocket_fm,ParkingBirmingham,0.03285502278997967,0.1364647290000772,0.18125954537618058,0.3979014357045777,21.05578589439392,20260211_112300_run5
minirocket_fm,ParkingBirmingham,0.032541245232705525,0.13566944050147042,0.18039192119578285,0.40365169854720495,21.100088357925415,20260211_111506_run4
